CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30401,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30401,SSPB 800,GRADUATE RESEARCH,"Alvarez, Pedro", ,9
30402,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30402,SSPB 800,GRADUATE RESEARCH,"Bao, Gang", ,9
30403,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30403,SSPB 800,GRADUATE RESEARCH,"Bashor, Caleb", ,9
30404,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30404,SSPB 800,GRADUATE RESEARCH,"Bennett, Matthew", ,9
30405,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30405,SSPB 800,GRADUATE RESEARCH,"Chappell, James", ,9
30406,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30406,SSPB 800,GRADUATE RESEARCH,"Dai, Mingjie", ,9
30407,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30407,SSPB 800,GRADUATE RESEARCH,"de Moraes, Marcos", ,9
30408,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30408,SSPB 800,GRADUATE RESEARCH,"Diehl, Michael R.", ,9
30715,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30715,SSPB 800,GRADUATE RESEARCH,"Gao, Yang", ,9
30409,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30409,SSPB 800,GRADUATE RESEARCH,"Gollihar, Jimmy", ,9
30410,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30410,SSPB 800,GRADUATE RESEARCH,"Gustavsson, Anna-Karin", ,9
30411,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30411,SSPB 800,GRADUATE RESEARCH,"Hilton, Isaac", ,9
30412,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30412,SSPB 800,GRADUATE RESEARCH,"Igoshin, Oleg", ,9
30413,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30413,SSPB 800,GRADUATE RESEARCH,"Kavraki, Lydia", ,9
30414,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30414,SSPB 800,GRADUATE RESEARCH,"Kiang, Ching-Hwa", ,9
30415,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30415,SSPB 800,GRADUATE RESEARCH,"Kimmel, Marek", ,9
30416,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30416,SSPB 800,GRADUATE RESEARCH,"Kirienko, Natasha", ,9
30417,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30417,SSPB 800,GRADUATE RESEARCH,"Kolomeisky, Anatoly", ,9
30430,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30430,SSPB 800,GRADUATE RESEARCH,"Lavery, Laura", ,9
30489,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30489,SSPB 800,GRADUATE RESEARCH,"Li, Lei", ,9
30490,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30490,SSPB 800,GRADUATE RESEARCH,"Loveless, Theresa", ,9
30491,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30491,SSPB 800,GRADUATE RESEARCH,"Lu, George", ,9
30492,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30492,SSPB 800,GRADUATE RESEARCH,"Luan, Lan", ,9
30493,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30493,SSPB 800,GRADUATE RESEARCH,"MacKintosh, Frederick C.", ,9
30494,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30494,SSPB 800,GRADUATE RESEARCH,"Masiello, Carrie", ,9
30495,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30495,SSPB 800,GRADUATE RESEARCH,"Nakhleh, Luay", ,9
30496,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30496,SSPB 800,GRADUATE RESEARCH,"Nikonowicz, Edward", ,9
30497,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30497,SSPB 800,GRADUATE RESEARCH,"Onuchic, Jose", ,9
30498,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30498,SSPB 800,GRADUATE RESEARCH,"Phillips, George", ,9
30499,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30499,SSPB 800,GRADUATE RESEARCH,"Raphael, Rob", ,9
30500,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30500,SSPB 800,GRADUATE RESEARCH,"Renata, Hans", ,9
30501,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30501,SSPB 800,GRADUATE RESEARCH,"Robinson, Jacob", ,9
30502,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30502,SSPB 800,GRADUATE RESEARCH,"Segatori, Laura", ,9
30503,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30503,SSPB 800,GRADUATE RESEARCH,"Shamoo, Yousif", ,9
30504,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30504,SSPB 800,GRADUATE RESEARCH,"Silberg, Joff", ,9
30505,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30505,SSPB 800,GRADUATE RESEARCH,"St. Pierre, Francois", ,9
30506,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30506,SSPB 800,GRADUATE RESEARCH,"Stadler, Lauren", ,9
30507,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30507,SSPB 800,GRADUATE RESEARCH,"Szablowski, Jerzy", ,9
30508,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30508,SSPB 800,GRADUATE RESEARCH,"Tabor, Jeffrey", ,9
30509,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30509,SSPB 800,GRADUATE RESEARCH,"Tang, Evelyn", ,9
30510,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30510,SSPB 800,GRADUATE RESEARCH,"Tao, Yizhi", ,9
30511,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30511,SSPB 800,GRADUATE RESEARCH,"Thyer, Ross", ,9
30512,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30512,SSPB 800,GRADUATE RESEARCH,"Treangen, Todd", ,9
